"ModelID","CRISPRGeneDependency","Group"
"ACH-000036",1,"Glioma Cell Lines"
"ACH-000040",1,"Glioma Cell Lines"
"ACH-000067",1,"Glioma Cell Lines"
"ACH-000075",1,"Glioma Cell Lines"
"ACH-000098",1,"Glioma Cell Lines"
"ACH-000128",1,"Glioma Cell Lines"
"ACH-000137",1,"Glioma Cell Lines"
"ACH-000143",1,"Dependent Cell Lines"
"ACH-000152",1,"Glioma Cell Lines"
"ACH-000200",1,"Glioma Cell Lines"
"ACH-000208",1,"Glioma Cell Lines"
"ACH-000215",1,"Glioma Cell Lines"
"ACH-000231",1,"Glioma Cell Lines"
"ACH-000232",0.99999586,"Glioma Cell Lines"
"ACH-000244",0.99925498,"Glioma Cell Lines"
"ACH-000247",1,"Dependent Cell Lines"
"ACH-000269",1,"Glioma Cell Lines"
"ACH-000273",1,"Glioma Cell Lines"
"ACH-000323",1,"Glioma Cell Lines"
"ACH-000329",1,"Glioma Cell Lines"
"ACH-000368",1,"Glioma Cell Lines"
"ACH-000370",1,"Glioma Cell Lines"
"ACH-000376",1,"Glioma Cell Lines"
"ACH-000389",1,"Glioma Cell Lines"
"ACH-000437",0.999221628,"Glioma Cell Lines"
"ACH-000445",0.993160825,"Glioma Cell Lines"
"ACH-000455",1,"Glioma Cell Lines"
"ACH-000464",1,"Glioma Cell Lines"
"ACH-000469",1,"Glioma Cell Lines"
"ACH-000479",1,"Glioma Cell Lines"
"ACH-000504",1,"Glioma Cell Lines"
"ACH-000533",1,"Dependent Cell Lines"
"ACH-000558",1,"Glioma Cell Lines"
"ACH-000570",1,"Glioma Cell Lines"
"ACH-000571",1,"Glioma Cell Lines"
"ACH-000591",1,"Glioma Cell Lines"
"ACH-000592",1,"Glioma Cell Lines"
"ACH-000595",1,"Glioma Cell Lines"
"ACH-000609",1,"Glioma Cell Lines"
"ACH-000622",1,"Glioma Cell Lines"
"ACH-000623",1,"Glioma Cell Lines"
"ACH-000631",1,"Glioma Cell Lines"
"ACH-000634",0.999989048,"Glioma Cell Lines"
"ACH-000655",1,"Glioma Cell Lines"
"ACH-000673",1,"Glioma Cell Lines"
"ACH-000676",1,"Glioma Cell Lines"
"ACH-000738",0.999999987,"Glioma Cell Lines"
"ACH-000756",1,"Glioma Cell Lines"
"ACH-000760",1,"Glioma Cell Lines"
"ACH-000807",1,"Glioma Cell Lines"
"ACH-000819",1,"Glioma Cell Lines"
"ACH-000863",0.999951865,"Glioma Cell Lines"
"ACH-000887",1,"Glioma Cell Lines"
"ACH-000934",1,"Dependent Cell Lines"
"ACH-001016",1,"Glioma Cell Lines"
"ACH-001031",1,"Dependent Cell Lines"
"ACH-001126",1,"Glioma Cell Lines"
"ACH-001172",1,"Glioma Cell Lines"
"ACH-001329",1,"Glioma Cell Lines"
"ACH-001605",1,"Glioma Cell Lines"
"ACH-001606",1,"Glioma Cell Lines"
"ACH-001608",1,"Glioma Cell Lines"
"ACH-001609",1,"Glioma Cell Lines"
"ACH-001610",1,"Glioma Cell Lines"
"ACH-001611",1,"Glioma Cell Lines"
"ACH-001622",1,"Glioma Cell Lines"
"ACH-001623",1,"Glioma Cell Lines"
"ACH-001624",1,"Glioma Cell Lines"
"ACH-001649",1,"Dependent Cell Lines"
"ACH-001677",1,"Dependent Cell Lines"
"ACH-002045",1,"Dependent Cell Lines"
"ACH-002228",0.970116681,"Glioma Cell Lines"
"ACH-002229",1,"Glioma Cell Lines"
"ACH-002230",1,"Glioma Cell Lines"
"ACH-002233",1,"Dependent Cell Lines"
"ACH-002257",1,"Glioma Cell Lines"
"ACH-002269",1,"Glioma Cell Lines"
"ACH-002304",1,"Glioma Cell Lines"
"ACH-002680",1,"Glioma Cell Lines"
