Gene,log2FoldChange_CBX4.1,pvalue_CBX4.1,padj_CBX4.1,effect_CBX4.1,log2FoldChange_CBX4.2,pvalue_CBX4.2,padj_CBX4.2,effect_CBX4.2,log2FoldChange_BMI1.1,pvalue_BMI1.1,padj_BMI1.1,effect_BMI1.1,log2FoldChange_BMI1.3,pvalue_BMI1.3,padj_BMI1.3,effect_BMI1.3,log2FoldChange_EZH2.3,pvalue_EZH2.3,padj_EZH2.3,effect_EZH2.3
ACTC1,3.70095776241903,0.000215192488573706,0.108287934428697,Upregulated,3.84435734599635,0.00012124596060249,0.0980143685084768,Upregulated,2.69096461502301,0.00886014353826054,NA,Upregulated,3.47636509867814,0.000551001833796731,0.0210044724693743,Upregulated,3.75324779486309,0.000181880617923809,0.00644468576410991,Upregulated
CDKN2A,1.03685572014991,8.94004980603493e-11,6.29826508835161e-07,Upregulated,0.851507637672402,1.30897881650525e-07,0.00141984236957488,Upregulated,1.46416152216917,3.01122128216912e-20,3.54089510570266e-16,Upregulated,1.3391224815143,4.06071307530196e-17,6.03706212905142e-13,Upregulated,1.29170384931069,6.1008252438292e-16,1.09656232932586e-12,Upregulated
CPNE5,0.983275736164927,0.00233207828753087,0.262871864570479,Upregulated,0.905478720558068,0.00553022433554468,0.619023054686815,Upregulated,1.56465674069252,8.32615015004609e-07,0.000222516362759982,Upregulated,1.23582042680455,0.000118730558075199,0.00760847934010338,Upregulated,2.28407699621299,2.65970795597019e-13,2.07850394785253e-10,Upregulated
DMRTA2,2.08076064537323,2.67274275227709e-05,0.0244591336989307,Upregulated,2.28239812003463,3.83677095426907e-06,0.00789502823180731,Upregulated,2.46308065020539,4.59079150784127e-07,0.000158773874531487,Upregulated,1.97733579672955,8.09701846859444e-05,0.00587211578402895,Upregulated,2.60666848345375,8.82530554643661e-08,1.57055487021437e-05,Upregulated
EFHD1,0.730779042586704,0.00114458949600501,0.205960137469222,Upregulated,0.795302081286502,0.000425573826051432,0.189419271802976,Upregulated,1.00012521984696,7.37027997685698e-06,0.000942033937476753,Upregulated,1.1451404230316,2.39791426240209e-07,0.000142723863993798,Upregulated,1.96540988266537,1.16031482912871e-19,4.97887909153222e-16,Upregulated
EYA4,0.973525398988975,1.22956443668776e-05,0.0123746877949504,Upregulated,1.14295745485534,2.79466298550386e-07,0.001581429916922,Upregulated,1.27463239611945,7.79805346149123e-09,9.77824092733458e-06,Upregulated,1.30110134297725,3.61305726218289e-09,4.1319478705287e-06,Upregulated,1.49312436774476,1.06851265730819e-11,5.8810325412564e-09,Upregulated
FOXD1,2.21597428976388,0.000297885645576227,NA,Upregulated,1.75766689248045,0.00497240894744721,0.612834779397135,Upregulated,2.69955148821584,8.64995127731506e-06,NA,Upregulated,2.41945030277494,7.49218880053128e-05,0.00558073164660397,Upregulated,2.68063626928102,1.05422885725883e-05,0.000740183964076964,Upregulated
IGSF9B,0.683626603189168,0.00641046037031222,0.376347444240413,Upregulated,1.04039047378692,2.74766606884101e-05,0.0444238724772974,Upregulated,0.918645066363592,0.000226659742300201,0.00859771583776795,Upregulated,1.11004051946727,6.79151661648722e-06,0.00121649972936525,Upregulated,1.61610409955288,2.67356945199666e-11,1.29877668459968e-08,Upregulated
ITGA5,0.946774506368341,0.00036349606719673,0.129415776955191,Upregulated,1.25337078337232,2.11275804945439e-06,0.00683175406420003,Upregulated,1.47748693238702,1.80046764931788e-08,1.54804954439785e-05,Upregulated,1.28745364681549,1.04759350587133e-06,0.000432627018105251,Upregulated,1.8486999122177,1.35074709038038e-12,8.99197340833218e-10,Upregulated
PCDH1,1.68465004105691,1.05700727760738e-07,0.000496441084716269,Upregulated,1.47482652737396,5.13929693620553e-06,0.00969399884591769,Upregulated,1.78547597899428,1.7859602171246e-08,1.54804954439785e-05,Upregulated,2.15366899998151,4.79033126454398e-12,1.18696424849959e-08,Upregulated,3.23953394337489,8.45012568340875e-27,7.59412795167944e-23,Upregulated
PDLIM3,2.2274612151624,1.80889777983267e-06,0.00509747394356846,Upregulated,2.19692456232231,3.10242481236727e-06,0.00789502823180731,Upregulated,2.80398968973637,8.87289909946708e-10,2.08672841021267e-06,Upregulated,3.65986517239577,2.47436091414158e-16,1.83931618552715e-12,Upregulated,3.49219795360783,7.67294772521854e-15,1.06087355702368e-11,Upregulated
RTN1,0.90904973159539,9.05642991115071e-06,0.0107020141327204,Upregulated,0.753160171431413,0.000282124383360615,0.148508963194594,Upregulated,1.22566060653674,1.67435427604592e-09,3.28145532200399e-06,Upregulated,1.25864103642012,5.7605978089089e-10,7.13690063542072e-07,Upregulated,1.55426327136568,1.39253042984543e-14,1.66862279640278e-11,Upregulated
SCUBE3,1.30796927617595,0.00192821530234752,0.246863404425045,Upregulated,1.42979217501287,0.000710874079166852,0.236626982087378,Upregulated,1.49298337835169,0.000389115783423181,NA,Upregulated,1.68115774938196,5.85223890909049e-05,0.00478050746491474,Upregulated,1.91598297600452,4.29211042293499e-06,0.000378168591871733,Upregulated
TLE2,4.58715417519396,0.0050525904086313,NA,Upregulated,4.51659974072413,0.00609381381640843,0.631044328751097,Upregulated,4.36494463861313,0.00826345892246562,NA,Upregulated,4.38414715619845,0.00793231444075682,NA,Upregulated,5.07170173120283,0.00180025420794263,0.0322609861750358,Upregulated
ZIC4,4.45061233804648,0.0041452958617942,0.335673670647588,Upregulated,5.13455389277422,0.000787021663017794,0.250904723132504,Upregulated,5.56334944415694,0.000239958001222665,0.00889923239827191,Upregulated,6.13774597512505,4.38511911519851e-05,0.00399960526905866,Upregulated,6.29582120204781,2.73728929746795e-05,0.00153619693086449,Upregulated
